"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"24.02.2020","1","0","0"
"25.02.2020","0","0","0"
"26.02.2020","0","0","0"
"27.02.2020","0","0","0"
"28.02.2020","1","1","0"
"29.02.2020","1","0","0"
"01.03.2020","0","0","0"
"02.03.2020","2","0","0"
"03.03.2020","1","1","0"
"04.03.2020","0","0","0"
"05.03.2020","1","0","0"
"06.03.2020","2","1","0"
"07.03.2020","0","0","0"
"08.03.2020","1","0","0"
"09.03.2020","3","0","0"
"10.03.2020","7","0","0"
"11.03.2020","19","1","0"
"12.03.2020","18","2","1"
"13.03.2020","27","2","0"
"14.03.2020","24","1","0"
"15.03.2020","21","0","0"
"16.03.2020","29","2","0"
"17.03.2020","46","7","1"
"18.03.2020","54","8","4"
"19.03.2020","60","2","0"
"20.03.2020","78","12","1"
"21.03.2020","46","5","3"
"22.03.2020","34","9","3"
"23.03.2020","94","16","3"
"24.03.2020","101","15","4"
"25.03.2020","87","13","4"
"26.03.2020","95","23","4"
"27.03.2020","116","18","2"
"28.03.2020","83","14","1"
"29.03.2020","44","14","2"
"30.03.2020","78","19","5"
"31.03.2020","106","23","3"
"01.04.2020","104","19","6"
"02.04.2020","110","18","4"
"03.04.2020","112","14","7"
"04.04.2020","69","11","3"
"05.04.2020","36","4","0"
"06.04.2020","61","14","5"
"07.04.2020","111","20","9"
"08.04.2020","88","17","4"
"09.04.2020","93","13","4"
"10.04.2020","34","4","1"
"11.04.2020","41","7","2"
"12.04.2020","16","3","0"
"13.04.2020","98","5","11"
"14.04.2020","17","1","1"
"15.04.2020","43","8","3"
"16.04.2020","50","7","3"
"17.04.2020","38","6","2"
"18.04.2020","25","6","2"
"19.04.2020","9","3","1"
"20.04.2020","27","13","3"
"21.04.2020","38","7","2"
"22.04.2020","33","7","4"
"23.04.2020","40","5","1"
"24.04.2020","39","7","1"
"25.04.2020","17","4","3"
"26.04.2020","6","4","1"
"27.04.2020","13","0","0"
"28.04.2020","23","2","0"
"29.04.2020","18","4","0"
"30.04.2020","20","5","1"
"01.05.2020","13","1","0"
"02.05.2020","11","2","0"
"03.05.2020","50","1","0"
"04.05.2020","13","3","0"
"05.05.2020","49","6","0"
"06.05.2020","16","2","0"
"07.05.2020","34","0","0"
"08.05.2020","21","1","0"
"09.05.2020","19","1","0"
"10.05.2020","16","3","0"
"11.05.2020","4","0","0"

"Datenstand 11.05.2020 20:06:16"
